experiment_id,repo,branch,dataset_id,config_path,status,period_name,period_start,period_end,horizons,seed,primary_symbol,artifact_path,artifact_sha256,key_metrics_json,notes,created_utc
statarb_hist_oos_v1_prereg,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_statarb_sector_equities_daily_2015_2025_v1,configs/experiments/statarb_historical_oos_study_v1.yaml,PRE-REGISTERED_DRAFT_NOT_YET_FROZEN_FOR_HOLDOUT,pre_registration,,,,0,,,,,Skeleton pre-registration; development parameters not frozen for holdout; no 2025 evaluation,2026-09-16T03:13:27Z
statarb_hist_oos_v1_dev_formation,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_statarb_sector_equities_daily_2015_2025_v1,configs/experiments/statarb_historical_oos_study_v1.yaml,not-yet-frozen-for-holdout,formation_dev,2015-01-01,2023-12-31,,0,,results/historical_oos/statarb_hist_oos_v1_dev_formation.json,a104e173965f4908145806ec5d7020c5cd820a1999619b09e637e09e5c94816a,"{""mean_max_drawdown"": null, ""mean_net_return"": null, ""mean_sharpe"": null, ""median_net_return"": null, ""median_sharpe"": null, ""n_eval_bars"": 2264, ""n_formation_bars"": 2264, ""n_pairs_traded"": 0, ""n_rejected_within_sector"": 0, ""n_tests_within_sector"": 140, ""n_top_pairs"": 0, ""total_fills"": 0}","Primary trading uses formation-fit static OLS hedge on eval window. Kalman reported as sequential diagnostic (estimation_mode labels), not as a separate live beta-trading path in this study.",2026-09-16T03:29:57Z
statarb_hist_oos_v1_val_2024,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_statarb_sector_equities_daily_2015_2025_v1,configs/experiments/statarb_historical_oos_study_v1.yaml,not-yet-frozen-for-holdout,validation,2024-01-01,2024-12-31,,0,,results/historical_oos/statarb_hist_oos_v1_val_2024.json,1457bca1bdc43fdabb3f73a84ef131c637089a6c8a5a791a93d8183b786a203f,"{""mean_max_drawdown"": null, ""mean_net_return"": null, ""mean_sharpe"": null, ""median_net_return"": null, ""median_sharpe"": null, ""n_eval_bars"": 252, ""n_formation_bars"": 2264, ""n_pairs_traded"": 0, ""n_rejected_within_sector"": 0, ""n_tests_within_sector"": 140, ""n_top_pairs"": 0, ""total_fills"": 0}","Primary trading uses formation-fit static OLS hedge on eval window. Kalman reported as sequential diagnostic (estimation_mode labels), not as a separate live beta-trading path in this study.",2026-09-16T03:30:38Z
statarb_hist_oos_v1_holdout_2025,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_statarb_sector_equities_daily_2015_2025_v1,configs/experiments/statarb_historical_oos_study_v1.yaml,frozen-for-holdout,holdout,2025-01-01,2025-12-31,,0,,results/historical_oos/statarb_hist_oos_v1_holdout_2025.json,08516c8af53b11e9e73b8024e71f98cfa37d0eabef1421dcf291d016b3ae42f9,"{""mean_max_drawdown"": null, ""mean_net_return"": null, ""mean_sharpe"": null, ""median_net_return"": null, ""median_sharpe"": null, ""n_eval_bars"": 250, ""n_formation_bars"": 2264, ""n_pairs_traded"": 0, ""n_rejected_within_sector"": 0, ""n_tests_within_sector"": 140, ""n_top_pairs"": 0, ""total_fills"": 0}","Primary trading uses formation-fit static OLS hedge on eval window. Kalman reported as sequential diagnostic (estimation_mode labels), not as a separate live beta-trading path in this study.",2026-09-16T03:31:21Z
statarb_hist_etf_wf_v2_INVALIDATED,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_stat_arb_etfs_daily_2015_2025_v1,configs/experiments/statarb_historical_etf_wf_v2.yaml,invalidated-before-holdout,n/a,,,,0,,,,,"CORRECTIVE: prior FINAL CONFIGURATION FROZEN record (Issue #3 comment 5698399615) was procedurally invalid -- no dataset manifest, pipeline code, or DEV/VAL artifacts ever existed for this config. No 2025 v2 result was executed or exists. Superseded by statarb_hist_etf_wf_v3. Original freeze 2026-09-16T13:37:28Z; invalidated 2026-09-16T17:30:00Z.",2026-09-16T17:30:00Z
statarb_hist_etf_wf_v3_prereg,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_stat_arb_etfs_daily_2015_2025_v1,configs/experiments/statarb_historical_etf_wf_v3.yaml,pre-registered,pre_registration,,,,0,,,,,Conforming walk-forward pipeline implemented (wf_v3_pairs/backtest/sizing/costs/orch.py; 19 tests passing). Dataset not yet acquired -- this session's egress proxy blocks Yahoo Finance (policy 403). No DEV/validation run yet; not frozen-for-holdout.,2026-09-16T17:35:00Z
statarb_hist_etf_wf_v3_dev_formation_SUPERSEDED_BUCKETING_BUG,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_stat_arb_etfs_daily_2015_2025_v1,configs/experiments/statarb_historical_etf_wf_v3.yaml,pre-registered,dev_formation,2017-07-05,2023-10-05,,0,,results/historical_oos/statarb_hist_etf_wf_v3_dev_formation.json,c7ca93a6b7ffa9ab6bb19c76780ead86bb2746f000e20b679911824dbada811f,"{""n_fallback_windows"": 4, ""n_no_trade_windows"": 21, ""n_qualifying_windows"": 4, ""n_windows"": 25}","D9-B v3 conforming walk-forward (per-window pair rediscovery; fair OLS-vs-Kalman; fixed_gross_notional sizing; GROSS/BASE/STRESS costs). | CORRECTIVE: this run bucketed windows by test_end<2024-01-01 / test_start>=2024-01-01, which silently dropped window 25 (test 2023-10-06..2024-01-05, straddling the boundary) from BOTH buckets. Superseded by the identically-named entry further down the ledger, re-run with year(test_start)-based bucketing plus an exhaustiveness assertion. Original artifact JSON (now overwritten on disk) is recoverable from git history at commit 66b0274.",2026-09-16T17:34:57Z
statarb_hist_etf_wf_v3_val_2024_SUPERSEDED_BUCKETING_BUG,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_stat_arb_etfs_daily_2015_2025_v1,configs/experiments/statarb_historical_etf_wf_v3.yaml,pre-registered,val_2024,2024-01-08,2024-10-07,,0,,results/historical_oos/statarb_hist_etf_wf_v3_val_2024.json,d59c9747044262a2b736f455a5924fde13dedadb5ff8567d3964fa9b919dfbb8,"{""n_fallback_windows"": 0, ""n_no_trade_windows"": 3, ""n_qualifying_windows"": 0, ""n_windows"": 3}","D9-B v3 conforming walk-forward (per-window pair rediscovery; fair OLS-vs-Kalman; fixed_gross_notional sizing; GROSS/BASE/STRESS costs). | CORRECTIVE: this run bucketed windows by test_end<2024-01-01 / test_start>=2024-01-01, which silently dropped window 25 (test 2023-10-06..2024-01-05, straddling the boundary) from BOTH buckets. Superseded by the identically-named entry further down the ledger, re-run with year(test_start)-based bucketing plus an exhaustiveness assertion. Original artifact JSON (now overwritten on disk) is recoverable from git history at commit 66b0274.",2026-09-16T17:34:57Z
statarb_hist_etf_wf_v3_dev_formation_SUPERSEDED_MERGED_BOUNDARY_WINDOW,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_stat_arb_etfs_daily_2015_2025_v1,configs/experiments/statarb_historical_etf_wf_v3.yaml,pre-registered,dev_formation,2017-07-05,2024-01-05,,0,,results/historical_oos/statarb_hist_etf_wf_v3_dev_formation.json,872ce184eb6d0b8064a0a19e38de81d327306e663d090a3d6547d38d40509f32,"{""n_fallback_windows"": 4, ""n_no_trade_windows"": 22, ""n_qualifying_windows"": 4, ""n_windows"": 26}","D9-B v3 conforming walk-forward (per-window pair rediscovery; fair OLS-vs-Kalman; fixed_gross_notional sizing; GROSS/BASE/STRESS costs). | CORRECTIVE (independent review): this run bucketed by year(test_start) alone, which fixed the prior drop-bug but incorrectly folded window 25 (test 2023-10-06..2024-01-05, which contains both 2023 and 2024 sessions) into ""DEV"" as if it were purely 2015-2023. Superseded by the three-way split below: strict dev_formation (windows with test entirely in 2015-2023), a separate boundary_2023_2024 entry for window 25 alone, and strict val_2024 (test entirely in 2024). All three together account for exactly the 29 total windows.",2026-09-16T17:41:05Z
statarb_hist_etf_wf_v3_val_2024,Advanced_Algorithmic_Trading_Simulator_public,research/historical-oos-study,yf_stat_arb_etfs_daily_2015_2025_v1,configs/experiments/statarb_historical_etf_wf_v3.yaml,pre-registered,val_2024,2024-01-08,2024-10-07,,0,,results/historical_oos/statarb_hist_etf_wf_v3_val_2024.json,d59c9747044262a2b736f455a5924fde13dedadb5ff8567d3964fa9b919dfbb8,"{""n_fallback_windows"": 0, ""n_no_trade_windows"": 3, ""n_qualifying_windows"": 0, ""n_windows"": 3}","D9-B v3 conforming walk-forward (per-window pair rediscovery; fair OLS-vs-Kalman; fixed_gross_notional sizing; GROSS/BASE/STRESS costs). | duplicate content across intermediate re-runs; harmless, see final val_2024 entry for the authoritative row.",2026-09-16T17:41:05Z
